Trained Samples, Block Average Training Error
250,1.518039956
500,0.66807404
750,0.624569554
1000,0.535555467
1250,0.589206974
1500,0.454179307
1750,0.266328444
2000,0.353255028
2250,0.241522623
2500,0.286500016
2750,0.300503721
3000,0.327092746
3250,0.27965408
3500,0.295104967
3750,0.280830516
4000,0.194278269
4250,0.235713818
4500,0.20619637
4750,0.277843921
5000,0.250084813
5250,0.259771999
5500,0.192238735
5750,0.308057595
6000,0.212522388
6250,0.193167513
6500,0.200677608
6750,0.188546594
7000,0.252806781
7250,0.26400712
7500,0.142770004
7750,0.209622995
8000,0.271099772
8250,0.257614717
8500,0.24527262
8750,0.392213715
9000,0.313373701
9250,0.154874816
9500,0.234276261
9750,0.089606205
10000,0.122197776
10250,0.282304672
10500,0.198650458
10750,0.08850546
11000,0.249113001
11250,0.169490234
11500,0.120223334
11750,0.24357216
12000,0.135703343
12250,0.121683815
12500,0.212653252
12750,0.219821871
13000,0.195446394
13250,0.227551416
13500,0.140979575
13750,0.227510228
14000,0.186205583
14250,0.183775466
14500,0.231039177
14750,0.217492604
15000,0.169483738
15250,0.086906047
15500,0.203878734
15750,0.165892225
16000,0.249917887
16250,0.09830084
16500,0.100207081
16750,0.165624043
17000,0.126016899
17250,0.198590899
17500,0.162798664
17750,0.225487492
18000,0.149347509
18250,0.197860341
18500,0.133071497
18750,0.153656849
19000,0.066609856
19250,0.165570637
19500,0.127127153
19750,0.120558353
20000,0.09962887
20250,0.252470166
20500,0.091064909
20750,0.159455578
21000,0.221425224
21250,0.150259749
21500,0.114706579
21750,0.115482772
22000,0.106518611
22250,0.188232824
22500,0.168193581
22750,0.211412841
23000,0.079535548
23250,0.135994207
23500,0.079090435
23750,0.156891268
24000,0.182121478
24250,0.111249516
24500,0.067014489
24750,0.150774147
25000,0.151272942
25250,0.095259728
25500,0.153996323
25750,0.129099034
26000,0.215541904
26250,0.082573397
26500,0.185706337
26750,0.284467994
27000,0.163198109
27250,0.185936172
27500,0.073434426
27750,0.167262899
28000,0.117969745
28250,0.096335953
28500,0.147403393
28750,0.186030089
29000,0.121248848
29250,0.192702939
29500,0.141841655
29750,0.074348347
30000,0.123456477
30250,0.139480256
30500,0.07514094
30750,0.094553975
31000,0.236158356
31250,0.189300567
31500,0.184327263
31750,0.266490794
32000,0.111938182
32250,0.147463089
32500,0.226905216
32750,0.115312889
33000,0.088970463
33250,0.098613947
33500,0.169188399
33750,0.085316959
34000,0.093467181
34250,0.119370671
34500,0.091080514
34750,0.13578676
35000,0.203133647
35250,0.097821354
35500,0.160535398
35750,0.102875634
36000,0.134396211
36250,0.134057445
36500,0.073494865
36750,0.13553105
37000,0.14887052
37250,0.268238342
37500,0.158526022
37750,0.148640692
38000,0.141535401
38250,0.094891701
38500,0.101117769
38750,0.15884697
39000,0.09981243
39250,0.090193785
39500,0.26647079
39750,0.120837575
40000,0.118866561
40250,0.125760162
40500,0.155694439
40750,0.113152225
41000,0.067526573
41250,0.083783482
