Trained Samples, Block Average Training Error
250,2.006265319
500,1.09080624
750,0.846879846
1000,0.629787492
1250,0.664600722
1500,0.514360295
1750,0.411189092
2000,0.336030261
2250,0.380527275
2500,0.321611827
2750,0.346086195
3000,0.370972477
3250,0.226845509
3500,0.271214924
3750,0.298354826
4000,0.229291405
4250,0.297978228
4500,0.330002138
4750,0.30604652
5000,0.302834259
5250,0.233475339
5500,0.28151448
5750,0.297883014
6000,0.230179748
6250,0.138980618
6500,0.235716629
6750,0.205972191
7000,0.317110995
7250,0.329233364
7500,0.212729714
7750,0.202086637
8000,0.24764022
8250,0.26008461
8500,0.264899196
8750,0.432915405
9000,0.350170807
9250,0.129292078
9500,0.264740096
9750,0.158836626
10000,0.147747531
10250,0.284023717
10500,0.14110067
10750,0.105445
11000,0.235883149
11250,0.201922186
11500,0.126527696
11750,0.254122723
12000,0.124989362
12250,0.107384736
12500,0.195015196
12750,0.197604624
13000,0.200782348
13250,0.350394399
13500,0.142433463
13750,0.197075865
14000,0.200347491
14250,0.196624902
14500,0.220124932
14750,0.179882219
15000,0.217488522
15250,0.122637075
15500,0.176643623
15750,0.140071872
16000,0.31465669
16250,0.082685812
16500,0.108146727
16750,0.20650235
17000,0.15325875
17250,0.289524531
17500,0.132569738
17750,0.233869534
18000,0.169011529
18250,0.13259554
18500,0.132184018
18750,0.138454369
19000,0.089702765
19250,0.126650455
19500,0.175367362
19750,0.087676817
20000,0.13549847
20250,0.286891155
20500,0.088658179
20750,0.17494462
21000,0.229430388
21250,0.08881747
21500,0.099148633
21750,0.121734938
22000,0.090084573
22250,0.173601471
22500,0.165792056
22750,0.161038453
23000,0.112441737
23250,0.113914089
23500,0.07560083
23750,0.109709427
24000,0.164436689
24250,0.130261188
24500,0.165376186
24750,0.133620599
25000,0.190771601
25250,0.142678958
25500,0.118182116
25750,0.179063803
26000,0.113705143
26250,0.059051609
26500,0.174835523
26750,0.300508688
27000,0.128134769
27250,0.105476242
27500,0.100915166
27750,0.163308763
28000,0.057720064
28250,0.114909575
28500,0.146174664
28750,0.208687887
29000,0.121393729
29250,0.113273108
29500,0.13663771
29750,0.091801108
30000,0.158563157
30250,0.205923357
30500,0.070034916
30750,0.164684419
31000,0.154102624
31250,0.114456725
31500,0.176591212
31750,0.157001301
32000,0.176134264
32250,0.176735391
32500,0.196754157
32750,0.079878585
33000,0.176168111
33250,0.098286724
33500,0.13521611
33750,0.088526768
34000,0.104054107
34250,0.07291441
34500,0.114300218
34750,0.170132012
35000,0.209312017
35250,0.067507216
35500,0.090229272
35750,0.076974646
36000,0.098885422
36250,0.127682676
36500,0.055112269
36750,0.11455524
37000,0.159772984
37250,0.15238942
37500,0.142329399
37750,0.119730101
38000,0.114063635
38250,0.05280605
38500,0.112428541
38750,0.156115563
39000,0.06069188
39250,0.06044059
39500,0.205358087
39750,0.164300831
40000,0.119721027
40250,0.054667943
40500,0.145165863
40750,0.106731937
41000,0.071990779
41250,0.084691875
41500,0.22886284
41750,0.077928777
42000,0.167943404
42250,0.094758081
42500,0.203272496
42750,0.132622578
43000,0.189831719
43250,0.158791945
43500,0.060316904
43750,0.139418711
44000,0.140307913
44250,0.070665964
44500,0.12078037
44750,0.069362337
45000,0.106429079
45250,0.084911441
45500,0.045576079
45750,0.181000583
46000,0.159964845
46250,0.170436951
46500,0.189384916
46750,0.133973715
47000,0.055759128
47250,0.17731163
47500,0.167581731
47750,0.130167431
48000,0.113184891
48250,0.070811836
