Trained Samples, Block Average Training Error
250,2.329724438
500,2.281619657
750,2.235789785
1000,2.142766797
1250,1.952314154
1500,1.840121719
1750,1.591168133
2000,1.451003967
2250,1.30161108
2500,1.199282986
2750,1.065281304
3000,0.973127434
3250,0.974009228
3500,0.868137835
3750,0.878754778
4000,0.755264593
4250,0.770657872
4500,0.718651202
4750,0.635368297
5000,0.668196146
5250,0.691044507
5500,0.627664346
5750,0.614704318
6000,0.564015553
6250,0.447025234
6500,0.511055021
6750,0.413940538
7000,0.615240436
7250,0.556455073
7500,0.476526492
7750,0.497527932
8000,0.536917097
8250,0.438032715
8500,0.520552466
8750,0.492224874
9000,0.517170327
9250,0.360282654
9500,0.442518708
9750,0.315850406
10000,0.31899286
10250,0.44205525
10500,0.294339539
10750,0.308696764
11000,0.354572829
11250,0.340211611
11500,0.251867295
11750,0.408716224
12000,0.385961425
12250,0.237420713
12500,0.344238202
12750,0.371908577
13000,0.300623395
13250,0.388185954
13500,0.21605571
13750,0.309256281
14000,0.289966551
14250,0.264267608
14500,0.281276839
14750,0.358147095
15000,0.320752663
15250,0.240384779
15500,0.265030057
15750,0.266304785
16000,0.375779763
16250,0.242382927
16500,0.191071558
16750,0.228911097
17000,0.318070683
17250,0.254436287
17500,0.202009157
17750,0.327459296
18000,0.257606975
18250,0.254843771
18500,0.194090334
18750,0.218475445
19000,0.133444948
19250,0.214370789
19500,0.23598955
19750,0.184633978
20000,0.230331699
20250,0.304590318
20500,0.164665606
20750,0.27318411
21000,0.29453939
21250,0.172496944
21500,0.148096399
21750,0.159498971
22000,0.154215743
22250,0.24788206
22500,0.197944705
22750,0.254203464
23000,0.151266174
23250,0.169202285
23500,0.126794458
23750,0.176468515
24000,0.193980328
24250,0.176146129
24500,0.227996543
24750,0.252020149
25000,0.212989913
25250,0.140592898
25500,0.097082135
25750,0.183377223
26000,0.186281746
26250,0.115739305
26500,0.245041279
26750,0.245266722
27000,0.160180423
27250,0.222928302
27500,0.166088396
27750,0.225824803
28000,0.135678336
28250,0.141111345
28500,0.173978011
28750,0.233167057
29000,0.118318394
29250,0.245461793
29500,0.240507786
29750,0.138800041
30000,0.225440158
30250,0.24966234
30500,0.128272755
30750,0.199051894
31000,0.250646723
31250,0.1593679
31500,0.224504562
31750,0.262081193
32000,0.13883662
32250,0.158666624
32500,0.215364474
32750,0.134700451
33000,0.157651008
33250,0.136949614
33500,0.143955253
33750,0.109014093
34000,0.140043506
34250,0.132055472
34500,0.089561193
34750,0.208818626
35000,0.242555061
35250,0.162706896
35500,0.147828473
35750,0.137095237
36000,0.087714896
36250,0.167420056
36500,0.183337882
36750,0.102024388
37000,0.158810416
37250,0.175054626
37500,0.204705383
37750,0.137380979
38000,0.146116362
38250,0.107567668
38500,0.170524177
38750,0.229629704
39000,0.123580829
39250,0.06733565
39500,0.360381467
39750,0.114848744
40000,0.17082725
40250,0.11726131
40500,0.115763314
40750,0.135098551
41000,0.145535375
41250,0.136062117
41500,0.271832751
41750,0.108752857
42000,0.166215204
42250,0.142677953
42500,0.186474212
42750,0.15792989
43000,0.221131699
43250,0.158821191
43500,0.071033404
43750,0.147457919
44000,0.166009255
44250,0.13366953
44500,0.155443425
44750,0.074696611
45000,0.197318104
45250,0.130389868
45500,0.144246558
45750,0.19658821
46000,0.176800903
46250,0.131093919
46500,0.269084783
46750,0.133729322
47000,0.142962816
47250,0.168977056
47500,0.168317509
47750,0.156274462
48000,0.127927566
48250,0.113548934
48500,0.133296286
48750,0.14562957
49000,0.183380195
49250,0.25623498
49500,0.140659188
49750,0.241847794
50000,0.142922331
50250,0.14648784
50500,0.224823376
50750,0.150112109
51000,0.081351184
51250,0.123516453
51500,0.090510041
51750,0.076937147
52000,0.136342602
52250,0.211271097
52500,0.083120356
52750,0.151394653
53000,0.249435735
53250,0.118758818
53500,0.09718924
53750,0.13428065
54000,0.134358416
54250,0.101951659
54500,0.13017814
54750,0.136229592
55000,0.180364257
55250,0.07606597
55500,0.174795928
55750,0.128925115
56000,0.118202074
56250,0.118889604
56500,0.173154344
56750,0.100318701
57000,0.128511098
57250,0.118008804
57500,0.119880043
57750,0.183173746
58000,0.087953757
58250,0.087918096
58500,0.045743899
58750,0.052142943
59000,0.064702388
59250,0.017800767
59500,0.083414606
59750,0.160103311
60000,0.102147475
60250,0.189554047
60500,0.118677589
60750,0.085760629
61000,0.161079794
61250,0.230392176
61500,0.185147133
61750,0.148001862
62000,0.1410473
62250,0.150882606
62500,0.12419416
62750,0.118371301
63000,0.090165019
63250,0.144800615
63500,0.089721291
63750,0.139677141
64000,0.137194601
64250,0.144246836
64500,0.091196519
64750,0.144585463
65000,0.06686341
65250,0.142843951
65500,0.053249432
65750,0.09555582
66000,0.174866435
66250,0.073372191
66500,0.111985848
66750,0.089622023
67000,0.128040268
67250,0.153854852
67500,0.112881001
67750,0.103306982
68000,0.147453917
68250,0.133207921
68500,0.152166832
68750,0.199411488
69000,0.220706993
69250,0.148064435
69500,0.140977061
69750,0.105819665
70000,0.063355721
70250,0.173999877
70500,0.103747575
70750,0.110369749
71000,0.159568274
71250,0.111047094
71500,0.06429146
71750,0.152901301
72000,0.120422501
72250,0.095119337
72500,0.139033199
72750,0.167806008
73000,0.110813757
73250,0.158171778
73500,0.055123477
73750,0.085498952
74000,0.108017038
74250,0.074215045
74500,0.084765106
74750,0.079141717
75000,0.168205223
75250,0.097498039
75500,0.165759183
75750,0.139662369
76000,0.176625181
76250,0.139953054
76500,0.103627761
76750,0.119038357
77000,0.119753896
77250,0.194246269
77500,0.087240893
77750,0.176451434
78000,0.125928818
78250,0.068573016
78500,0.09127036
78750,0.085806268
79000,0.130411303
79250,0.131486514
79500,0.111174508
79750,0.124036951
80000,0.112610178
80250,0.115852312
80500,0.086960603
80750,0.157048526
81000,0.191645121
81250,0.093556051
81500,0.099524259
81750,0.056133529
82000,0.139561441
82250,0.07614232
82500,0.094791563
82750,0.097230485
83000,0.060623475
83250,0.139425462
83500,0.096421823
83750,0.072516581
84000,0.10817239
84250,0.141330147
84500,0.14970005
84750,0.122905733
85000,0.099609761
85250,0.127029365
85500,0.115544582
85750,0.150069016
86000,0.218256657
86250,0.092768018
86500,0.244390905
86750,0.208440576
87000,0.104016963
87250,0.158896387
87500,0.104147222
87750,0.092249188
88000,0.127378727
88250,0.106602439
88500,0.102668717
88750,0.135355687
89000,0.110862181
89250,0.22278488
89500,0.101694962
89750,0.126756617
90000,0.107417017
90250,0.163470203
90500,0.063644469
90750,0.147637137
91000,0.101732566
91250,0.116235527
91500,0.193410837
91750,0.145958907
92000,0.124567088
92250,0.07908179
92500,0.129796648
92750,0.080712661
93000,0.106858112
93250,0.093583367
93500,0.114083468
93750,0.039607548
94000,0.120109646
94250,0.158823106
94500,0.124715566
94750,0.125553441
95000,0.162079013
95250,0.133412386
95500,0.078786413
95750,0.116793235
96000,0.087625611
96250,0.101605918
96500,0.160660447
96750,0.065888618
97000,0.104275144
97250,0.195827537
97500,0.151956025
97750,0.12187293
98000,0.083563889
98250,0.083606445
98500,0.170496616
98750,0.153485245
99000,0.087691214
99250,0.052764891
99500,0.255062737
99750,0.126963475
100000,0.041026683
100250,0.093950148
100500,0.095347245
100750,0.132249725
101000,0.123262522
101250,0.108879814
101500,0.201522343
101750,0.078120348
102000,0.136339309
102250,0.076446833
102500,0.099430646
102750,0.161154455
103000,0.166924442
103250,0.135330407
103500,0.103325345
103750,0.097752769
104000,0.122190725
104250,0.114261645
104500,0.101922634
104750,0.055656466
105000,0.109755882
105250,0.143633199
105500,0.098141746
105750,0.214371179
106000,0.150554442
106250,0.134124485
106500,0.119343623
106750,0.146575625
107000,0.093391211
107250,0.212840381
107500,0.117970485
107750,0.109175998
108000,0.092406286
108250,0.091488514
108500,0.098527002
108750,0.056530175
109000,0.1797743
109250,0.19401963
109500,0.080279615
109750,0.153536623
110000,0.121698182
110250,0.142122262
110500,0.125336705
110750,0.154463815
111000,0.095810887
111250,0.088929593
111500,0.088766186
111750,0.090811966
112000,0.128464955
112250,0.154641703
112500,0.08236023
112750,0.096346582
113000,0.165036295
113250,0.079942148
113500,0.08182744
113750,0.126163068
114000,0.104349927
114250,0.147745299
114500,0.065797476
114750,0.12878743
115000,0.14360832
115250,0.059282724
115500,0.125935156
115750,0.125371003
116000,0.151840327
116250,0.064036321
116500,0.127178003
116750,0.112316585
117000,0.118741608
117250,0.140722868
117500,0.094756793
117750,0.112339672
118000,0.113934534
118250,0.09603082
118500,0.047506949
118750,0.08114535
119000,0.064737517
119250,0.029619038
119500,0.071392279
119750,0.090006459
120000,0.1597586
120250,0.105028489
120500,0.053504025
120750,0.070355247
121000,0.105716777
121250,0.163566771
121500,0.145523157
121750,0.21305373
122000,0.111348416
122250,0.108263195
122500,0.152499276
122750,0.101489034
123000,0.130058076
123250,0.097643139
123500,0.110896061
123750,0.156308873
124000,0.135075685
124250,0.142171708
124500,0.064362074
124750,0.07958225
125000,0.062568697
125250,0.119291962
125500,0.150171668
125750,0.116665969
126000,0.146435705
126250,0.078202798
126500,0.073661771
126750,0.077721619
127000,0.123527178
