Trained Samples,Block Average Training Error
250,1.815497157
500,0.84027007
750,0.781387962
1000,0.613338464
1250,0.64703247
1500,0.415890534
1750,0.342140429
2000,0.272933184
2250,0.334128706
2500,0.266070905
2750,0.368604253
3000,0.351314197
3250,0.273191454
3500,0.211432298
3750,0.289207797
4000,0.207517351
4250,0.293847716
4500,0.22427362
4750,0.263856372
5000,0.266537607
5250,0.245395378
5500,0.176822468
5750,0.280486222
6000,0.221791063
6250,0.124326541
6500,0.249076623
6750,0.100967185
7000,0.264022101
7250,0.325735732
7500,0.174984906
7750,0.201094506
8000,0.198404148
8250,0.272556117
8500,0.225127463
8750,0.328014147
9000,0.263290679
9250,0.202298631
9500,0.232974351
9750,0.085700498
10000,0.118573559
10250,0.259493036
10500,0.098151516
10750,0.089510517
11000,0.174969941
11250,0.174919479
11500,0.093766956
11750,0.264571626
12000,0.209727849
12250,0.090118932
12500,0.159841327
12750,0.210937201
13000,0.187535711
13250,0.263122471
13500,0.157340306
13750,0.18130903
14000,0.202974026
14250,0.16899567
14500,0.150311299
14750,0.16433641
15000,0.211977221
15250,0.140628563
15500,0.188249855
15750,0.100385504
16000,0.259996734
16250,0.110833756
16500,0.070083794
16750,0.186869477
17000,0.186759204
17250,0.162708802
17500,0.145575774
17750,0.182287632
18000,0.161483103
18250,0.14837847
18500,0.144772149
18750,0.090290523
19000,0.054997049
19250,0.176335662
19500,0.165222833
19750,0.075567543
20000,0.064781446
20250,0.201169684
20500,0.093576171
20750,0.188760455
21000,0.215533929
21250,0.086070885
21500,0.091550194
21750,0.120329409
22000,0.07121035
22250,0.120045714
22500,0.121821281
22750,0.105871854
23000,0.080005855
23250,0.073347518
23500,0.069657066
23750,0.086401245
24000,0.145806331
24250,0.09795047
24500,0.07976926
24750,0.148195597
25000,0.165803388
25250,0.05091978
25500,0.101333064
25750,0.139510004
26000,0.108378893
26250,0.070775482
26500,0.137377779
26750,0.251313991
27000,0.135108879
27250,0.151533522
27500,0.064247572
27750,0.115366233
28000,0.052334649
28250,0.104582595
28500,0.118682981
28750,0.21166312
29000,0.095953805
29250,0.139689893
29500,0.1222916
29750,0.116411515
30000,0.109351916
30250,0.106685757
30500,0.075372173
30750,0.107515106
31000,0.143904986
31250,0.108645324
31500,0.142152588
31750,0.168454661
32000,0.13633708
32250,0.137225
32500,0.289359531
32750,0.034295049
33000,0.118149328
33250,0.113435741
33500,0.137070594
33750,0.085935458
34000,0.04919488
34250,0.069839493
34500,0.122299799
34750,0.16442749
35000,0.151959728
35250,0.114060042
35500,0.11123666
35750,0.085132262
36000,0.10998797
36250,0.109208197
36500,0.072585568
36750,0.087797663
37000,0.11179883
37250,0.183021617
37500,0.195870463
37750,0.126940912
38000,0.152849761
38250,0.059518514
38500,0.124530451
38750,0.101762391
39000,0.070659934
39250,0.057903387
39500,0.249080042
39750,0.129504419
40000,0.090414158
40250,0.076430212
40500,0.080140528
40750,0.105424103
41000,0.068742031
41250,0.100476245
41500,0.234308839
41750,0.10178622
42000,0.092328337
42250,0.172870393
42500,0.187799509
42750,0.099877035
43000,0.154606212
43250,0.121045131
43500,0.061666039
43750,0.121774318
44000,0.14758941
44250,0.07889975
44500,0.172186106
44750,0.056727444
45000,0.100802724
45250,0.122634868
45500,0.084358841
45750,0.115483692
46000,0.170950559
46250,0.135471182
46500,0.222001582
46750,0.102165168
47000,0.053265378
47250,0.142492168
47500,0.171935503
47750,0.154499385
48000,0.123133785
48250,0.082557411
48500,0.084369904
48750,0.044534799
49000,0.089672931
49250,0.157229119
49500,0.094721643
49750,0.14974666
50000,0.078526886
50250,0.07887497
50500,0.148481821
50750,0.167630176
51000,0.060552151
51250,0.072555362
51500,0.041342318
51750,0.060324315
52000,0.116465408
52250,0.153210877
52500,0.071562624
52750,0.082730129
53000,0.219422841
53250,0.12952641
53500,0.050603728
53750,0.11841734
54000,0.120689635
54250,0.076275042
54500,0.05698639
54750,0.095036336
55000,0.151972752
55250,0.025782539
55500,0.085924164
55750,0.080705904
56000,0.057367927
56250,0.113173348
56500,0.094045175
56750,0.080221722
57000,0.11042036
57250,0.030629808
57500,0.041948083
57750,0.109939439
58000,0.060759195
58250,0.059721906
58500,0.034052614
58750,0.013517873
59000,0.035226594
59250,0.001315123
59500,0.085386884
59750,0.15169537
60000,0.118280584
60250,0.066462543
60500,0.096701556
60750,0.156596127
61000,0.060295218
61250,0.10635068
61500,0.097334001
61750,0.060998904
62000,0.068638962
62250,0.034530653
62500,0.056038172
62750,0.161614411
63000,0.084359564
63250,0.045270893
63500,0.038301798
63750,0.115462723
64000,0.089872857
64250,0.07354338
64500,0.178539993
64750,0.104848198
65000,0.123159775
65250,0.089934133
65500,0.121258335
65750,0.131186008
66000,0.059473597
66250,0.036017231
66500,0.059571275
66750,0.059937197
67000,0.050082144
67250,0.169834133
67500,0.050202637
67750,0.06018057
68000,0.113601431
68250,0.142684909
68500,0.138273089
68750,0.166130671
69000,0.156270122
69250,0.082393598
69500,0.146501401
69750,0.070423624
70000,0.03684779
70250,0.105856345
70500,0.041528175
70750,0.024018946
71000,0.126006301
71250,0.112999478
71500,0.069416673
71750,0.054026586
72000,0.157542992
72250,0.052977742
72500,0.095469885
72750,0.115986157
73000,0.047370157
73250,0.137784742
73500,0.075430579
73750,0.074809516
74000,0.146874578
74250,0.126048139
74500,0.071439646
74750,0.112290284
75000,0.126802487
75250,0.083604871
75500,0.202348653
75750,0.065104524
76000,0.112023055
76250,0.059310143
76500,0.026795379
76750,0.101605835
77000,0.083164436
77250,0.155135727
77500,0.023380867
77750,0.097578793
78000,0.119095515
78250,0.078422048
78500,0.126190552
78750,0.066061915
79000,0.018673381
79250,0.103688005
79500,0.128806332
79750,0.064707132
80000,0.023206068
80250,0.09517756
80500,0.036804501
80750,0.123446991
81000,0.106167487
81250,0.049403907
81500,0.082878451
81750,0.100543719
82000,0.017154212
82250,0.062484308
82500,0.088506023
82750,0.085329672
83000,0.050054254
83250,0.076894678
83500,0.027864672
83750,0.09702118
84000,0.118220469
84250,0.089770562
84500,0.046520107
84750,0.059885264
85000,0.099036326
85250,0.135255802
85500,0.050050484
85750,0.144095426
86000,0.083737417
86250,0.048621214
86500,0.151898835
86750,0.100294821
87000,0.094681487
87250,0.119530681
87500,0.074344562
87750,0.090333882
88000,0.019489532
88250,0.057965376
