Trained Samples, Block Average Training Error
250,2.2754979
500,2.143348479
750,1.96559907
1000,1.747298638
1250,1.576320424
1500,1.474678268
1750,1.204008768
2000,1.15052064
2250,1.093380736
2500,1.002157871
2750,0.925222764
3000,0.842869406
3250,0.848243874
3500,0.811671578
3750,0.788183937
4000,0.639501489
4250,0.668855998
4500,0.684176737
4750,0.634792281
5000,0.681061771
5250,0.569654643
5500,0.536624497
5750,0.558144433
6000,0.478728125
6250,0.436047862
6500,0.515313916
6750,0.419980725
7000,0.513902321
7250,0.497587131
7500,0.464428742
7750,0.403763235
8000,0.532323496
8250,0.421318746
8500,0.415085527
8750,0.554585737
9000,0.465581018
9250,0.327070509
9500,0.425011552
9750,0.296657574
10000,0.333900168
10250,0.441067292
10500,0.314639549
10750,0.271172016
11000,0.337791993
11250,0.347669138
11500,0.279682181
11750,0.4219141
12000,0.392990016
12250,0.260997563
12500,0.315132749
12750,0.438730112
13000,0.343620838
13250,0.405034933
13500,0.236552166
13750,0.322077334
14000,0.318476309
14250,0.289264303
14500,0.349254259
14750,0.35312736
15000,0.351816453
15250,0.271379757
15500,0.273107842
15750,0.246018712
16000,0.391594262
16250,0.318084864
16500,0.239733798
16750,0.267326917
17000,0.294624156
17250,0.338516851
17500,0.257064419
17750,0.278515454
18000,0.304272231
18250,0.214287938
18500,0.194440869
18750,0.195278758
19000,0.14947127
19250,0.23845283
19500,0.225254136
19750,0.179335211
20000,0.197955114
20250,0.289443695
20500,0.196790094
20750,0.245035713
21000,0.279517414
21250,0.182047611
21500,0.175582859
21750,0.180867523
22000,0.173716128
22250,0.235819022
22500,0.217618548
22750,0.349012298
23000,0.139053137
23250,0.181404074
23500,0.123716065
23750,0.189264439
24000,0.214855764
24250,0.171177689
24500,0.184655763
24750,0.20771976
25000,0.245088538
25250,0.197910655
25500,0.163827189
25750,0.162005369
26000,0.250452833
26250,0.161091091
26500,0.254873524
26750,0.33825564
27000,0.17546046
27250,0.208948912
27500,0.150738896
27750,0.246280968
28000,0.134987583
28250,0.183103781
28500,0.172910518
28750,0.254825064
29000,0.133939994
29250,0.245910749
29500,0.210186879
29750,0.152131155
30000,0.223459932
30250,0.229342128
30500,0.126829871
30750,0.212390255
31000,0.179116853
31250,0.174878187
31500,0.249654686
31750,0.265558562
32000,0.188603936
32250,0.230005664
32500,0.300586575
32750,0.136318916
33000,0.1543027
33250,0.15247025
33500,0.162858857
33750,0.110624779
34000,0.116802595
34250,0.1064512
34500,0.179680695
34750,0.187103769
35000,0.213890024
35250,0.11932304
35500,0.136949858
35750,0.131034879
36000,0.139361828
36250,0.142514088
36500,0.126985948
36750,0.171224688
37000,0.162995291
37250,0.213874199
37500,0.210164177
37750,0.208173445
38000,0.148963352
38250,0.103538693
38500,0.159694504
38750,0.266976674
39000,0.123139485
39250,0.134832568
39500,0.278748668
39750,0.182886968
40000,0.171198065
40250,0.094727611
40500,0.142642839
40750,0.175100843
41000,0.12160361
41250,0.109388974
41500,0.280195089
41750,0.159541389
42000,0.130799306
42250,0.18241277
42500,0.213709829
42750,0.172553983
43000,0.198873134
43250,0.199141545
43500,0.07808857
43750,0.133926771
44000,0.158644933
44250,0.167572194
44500,0.166107713
44750,0.091639005
45000,0.21959066
45250,0.155686403
45500,0.129710653
45750,0.194103058
