Trained Samples, Block Average Training Error
250,2.320369292
500,2.217632502
750,2.144529382
1000,2.016684088
1250,1.839542882
1500,1.703754123
1750,1.417678011
2000,1.290403556
2250,1.178678282
2500,1.02431516
2750,0.975547104
3000,0.813128981
3250,0.897492072
3500,0.774610518
3750,0.815017319
4000,0.657336392
4250,0.687111015
4500,0.622385465
4750,0.577184198
5000,0.64302074
5250,0.571432105
5500,0.488409412
5750,0.499337471
6000,0.444086586
6250,0.393307458
6500,0.467280972
6750,0.385777503
7000,0.504801143
7250,0.443940688
7500,0.410444865
7750,0.389436754
8000,0.455074803
8250,0.42125927
8500,0.450347957
8750,0.469068123
9000,0.432453397
9250,0.311402222
9500,0.399105144
9750,0.284436964
10000,0.288096806
10250,0.383671727
10500,0.312126949
10750,0.230818461
11000,0.306968738
11250,0.254563044
11500,0.3235239
11750,0.38248171
12000,0.260796255
12250,0.278205796
12500,0.294158705
12750,0.382487341
13000,0.282924876
13250,0.367050323
13500,0.233785558
13750,0.283527691
14000,0.320167372
14250,0.295629013
14500,0.327897317
14750,0.330056004
15000,0.323542904
15250,0.21704897
15500,0.243769323
15750,0.24949388
16000,0.365835718
16250,0.226429654
16500,0.225329768
16750,0.231176008
17000,0.288696135
17250,0.32374806
17500,0.215599485
17750,0.257050139
18000,0.230867328
18250,0.197109685
18500,0.179821164
18750,0.186811884
19000,0.141489578
19250,0.210816024
19500,0.240276853
19750,0.174638096
20000,0.212457837
20250,0.305791651
20500,0.168998352
20750,0.238228465
21000,0.292579458
21250,0.139608952
21500,0.204383731
21750,0.142482186
22000,0.161664603
22250,0.222756862
22500,0.179528071
22750,0.277094553
23000,0.155884962
23250,0.18056981
23500,0.156716556
23750,0.184823868
24000,0.206479164
24250,0.158501093
24500,0.143730784
24750,0.217702613
25000,0.227977859
25250,0.167595065
25500,0.180414195
25750,0.19405201
26000,0.222761084
26250,0.12374203
26500,0.221432333
26750,0.278403232
27000,0.180924655
27250,0.221900939
27500,0.137657041
27750,0.191739332
28000,0.12486788
28250,0.168787974
28500,0.196435607
28750,0.27764799
29000,0.182241443
29250,0.224095351
29500,0.206647104
29750,0.144076602
30000,0.226669
30250,0.16715322
30500,0.123152503
30750,0.241140703
31000,0.231966836
31250,0.198991581
31500,0.255859132
31750,0.302567051
32000,0.185442516
32250,0.16198904
32500,0.245070078
32750,0.111725823
33000,0.20798758
